name,color,age,primary_breed,secondary_breed,sex
Chi,Blonde,10Yrs,Chihuahua cross,Not found,Not found
Reggie,Brown Tabby,5Yrs,Domestic Medium Hair cross,Not found,Not found
Stray Woodland Grocery Cat 03.27.2023,Grey,12Yrs,Domestic Short Hair cross,Not found,Male
Lana,Brown Tabby,1Yrs,Domestic Short Hair cross,Not found,Female
4400 Blk Brentlawn,Chocolate,Not found,English Lop cross,Not found,Not found
Barnet Marine Park,Blonde,3Yrs (approx),Goldendoodle cross,Not found,Male
Willingdon Height Park,White,9Yrs (approx),Husky cross,Not found,Male
High Way1,Black,3Yrs,Jack Russell Terrier cross,Not found,Male
Pup 1,Black,4Mths,Labrador Retriever cross,Not found,Female
Center St Stray (sullivan),Grey Tiger,4Yrs,Maine Coon cross,Domestic Longhair,Male
,Black,4Mths (approx),Shar-Pei cross,Not found,Female
Madeira Park Stray 3.26.23,Grey,2Yrs (approx),Domestic Short Hair cross,Not found,Male
44th & Earles,Black,2Yrs,Domestic Short Hair cross,Not found,Not found
Warner Park 1,Red,8Wks (approx),Golden Retriever cross,Not found,Male
Warner Park 2,Red,8Wks (approx),Golden Retriever cross,Not found,Female
Loki,Black,9Yrs,Shiba Inu cross,Not found,Male
Raven,Black,8Yrs (approx),Domestic Short Hair cross,Not found,Female
Church Stray,Brown Tabby,16Yrs,Domestic Short Hair cross,Not found,Male
,Tabby,2Yrs,Domestic Short Hair cross,Not found,Male
Columbia Valley,Chocolate Point,2Yrs (approx),Domestic Short Hair cross,Not found,Male
Georgie (hart Hwy Stray),Tan,12Wks (approx),German Shepherd cross,Not found,Male
Duck/gremlin,Yellow,2Yrs (approx),Labrador Retriever cross,Not found,Female
Goose/diane,Yellow,10Yrs (approx),Labrador Retriever cross,Not found,Female
Burde & 7th,Black,3Yrs,Rottweiler cross,Not found,Female
Gatehouse Stray,Lynx Point,2Yrs,Siamese cross,Not found,Female
"Gary, Stray Male 107 Ave",Grey Tabby,5Yrs,Domestic Medium Hair cross,Not found,Male
Chloe,Tabby,13Yrs 6Mths 1Wks,Domestic Short Hair cross,Not found,Female
Grey Nugget,Grey,3Yrs (approx),Domestic Short Hair cross,Not found,Male
Greenfield Ave (penny),Torbie,9Yrs 8Mths 3Wks,Domestic Short Hair cross,Not found,Female
Stray Dog Cbk 9 Ave.S,Black,7Yrs,Border Collie cross,Not found,Not found
Zaya,Black,7Yrs 5Mths,Boxer cross,Mastiff,Female
Bruce Ave Stray,Black,4Yrs,Domestic Longhair cross,Not found,Female
9800 Haddon Dr,White,3Yrs,Domestic Short Hair cross,Not found,Male
Douglas St.,Black,8Yrs,Domestic Short Hair cross,Not found,Male
Oak Street Stray,Black,1Yrs,Domestic Short Hair cross,Not found,Female
Tamihi Way,Tabby,4Yrs,Domestic Short Hair cross,Not found,Male
Found On Leathead And Franklyn,Orange Tabby,4Yrs (approx),Domestic Short Hair cross,Not found,Male
13 St Stray,Black,2Yrs (approx),Domestic Short Hair cross,Not found,Female
Squeak,Grey Tabby,5Yrs,Domestic Short Hair cross,Not found,Female
Earl,Brown Tabby,5Yrs,Domestic Short Hair cross,Not found,Male
Magnum,Brown Tabby,2Yrs,Domestic Short Hair cross,Not found,Male
Blossom,Tortoiseshell,10Yrs (approx),Domestic Short Hair cross,Not found,Female
Taborglenn Drive,Brown Tabby,1Yrs,Domestic Short Hair cross,Not found,Female
Ordano Rd Stray,Orange,5Yrs (approx),Domestic Short Hair cross,Not found,Male
Jeremy,Brown Tabby,1Yrs (approx),Domestic Short Hair cross,Not found,Male
Ivan,Black,2Yrs 5Mths 4Wks (approx),Domestic Short Hair cross,Not found,Male
Industrial Kitten 1,White,1Wks,Domestic Short Hair cross,Not found,Male
Industrial Kitten 2,White,1Wks,Domestic Short Hair cross,Not found,Male
Industrial Kitten 3,Orange Tabby,1Wks,Domestic Short Hair cross,Not found,Female
