name,color,age,primary_breed,secondary_breed,sex,age_in_days
,Black,9Yrs,Border Collie cross,Not found,Female,3285.0
Heaton 4,Black,2Yrs,Domestic Longhair cross,Not found,Male,730.0
215 Rd Stray (vaughn),Brown Tabby,1Yrs,Domestic Longhair cross,Not found,Not found,365.0
Rabbit 1,White,Not found,Holland Lop cross,Not found,Female,Not found
Rabbit 2,Brown,Not found,Holland Lop cross,Not found,Female,Not found
Rabbit 3,Brown,Not found,Holland Lop cross,Not found,Female,Not found
Rabbit 4,Brown,1Yrs,Holland Lop cross,Not found,Female,365.0
Rabbit 5,Brown,1Yrs,Holland Lop cross,Not found,Female,365.0
Rabbit 6,Brown,1Yrs,Holland Lop cross,Not found,Female,365.0
,Black,9Yrs,Husky cross,Not found,Not found,3285.0
